x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.040080	2.000000	0.075150	0.288553	0.631966	0.885652	1.037683	1.968853	2.266210	2.326610	2.293963	2.261900
0.042084	2.000000	0.078908	0.302348	0.660335	0.923152	1.079341	2.011512	2.263117	2.318126	2.284568	2.256601
0.044088	2.000000	0.082665	0.316083	0.688405	0.960043	1.120110	2.050424	2.256161	2.305093	2.271258	2.247717
0.046092	2.000000	0.086423	0.329758	0.716178	0.996330	1.160001	2.085767	2.245935	2.288195	2.254694	2.235845
0.048096	2.000000	0.090180	0.343372	0.743654	1.032018	1.199026	2.117716	2.232981	2.268067	2.235478	2.221526
0.050100	2.000000	0.093938	0.356926	0.770834	1.067111	1.237194	2.146438	2.217795	2.245299	2.214162	2.205251
0.052104	2.000000	0.097695	0.370420	0.797721	1.101616	1.274518	2.172095	2.200827	2.220436	2.191247	2.187460
0.054108	2.000000	0.101453	0.383854	0.824315	1.135536	1.311007	2.194844	2.182485	2.193977	2.167185	2.168548
0.056112	2.000000	0.105210	0.397227	0.850617	1.168876	1.346673	2.214837	2.163138	2.166383	2.142386	2.148870
0.058116	2.000000	0.108968	0.410541	0.876629	1.201642	1.381525	2.232223	2.143116	2.138074	2.117218	2.128739
0.060120	2.000000	0.112725	0.423793	0.902351	1.233838	1.415576	2.247142	2.122718	2.109432	2.092008	2.108433
0.062124	2.000000	0.116483	0.436986	0.927785	1.265469	1.448834	2.259734	2.102206	2.080801	2.067049	2.088199
0.064128	2.000000	0.120240	0.450119	0.952932	1.296539	1.481310	2.270130	2.081817	2.052492	2.042597	2.068248
0.066132	2.000000	0.123998	0.463191	0.977793	1.327054	1.513015	2.278460	2.061755	2.024783	2.018875	2.048767
0.068136	2.000000	0.127756	0.476203	1.002370	1.357018	1.543959	2.284848	2.042200	1.997919	1.996080	2.029915
0.070140	2.000000	0.131513	0.489155	1.026664	1.386436	1.574151	2.289413	2.023309	1.972115	1.974376	2.011827
0.072144	2.000000	0.135271	0.502046	1.050675	1.415312	1.603603	2.292270	2.005213	1.947559	1.953905	1.994615
0.074148	2.000000	0.139028	0.514877	1.074405	1.443652	1.632323	2.293532	1.988027	1.924412	1.934781	1.978373
0.076152	2.000000	0.142786	0.527648	1.097855	1.471460	1.660322	2.293306	1.971842	1.902808	1.917097	1.963175
0.078156	2.000000	0.146543	0.540359	1.121027	1.498741	1.687609	2.291694	1.956733	1.882860	1.900928	1.949080
0.080160	2.000000	0.150301	0.553010	1.143921	1.525499	1.714195	2.288797	1.942760	1.864656	1.886325	1.936128
0.082164	2.000000	0.154058	0.565600	1.166539	1.551739	1.740088	2.284710	1.929968	1.848265	1.873325	1.924351
0.084168	2.000000	0.157816	0.578130	1.188882	1.577465	1.765298	2.279526	1.918386	1.833736	1.861949	1.913763
0.086172	2.000000	0.161573	0.590600	1.210951	1.602683	1.789836	2.273333	1.908032	1.821100	1.852200	1.904372
0.088176	2.000000	0.165331	0.603010	1.232748	1.627396	1.813709	2.266215	1.898914	1.810371	1.844071	1.896172
0.090180	2.000000	0.169088	0.615359	1.254273	1.651609	1.836928	2.258256	1.891029	1.801547	1.837543	1.889151
0.092184	2.000000	0.172846	0.627648	1.275527	1.675328	1.859502	2.249532	1.884363	1.794615	1.832585	1.883288
0.094188	2.000000	0.176603	0.639877	1.296513	1.698555	1.881439	2.240119	1.878897	1.789545	1.829156	1.878556
0.096192	2.000000	0.180361	0.652046	1.317230	1.721297	1.902750	2.230089	1.874603	1.786297	1.827207	1.874922
0.098196	2.000000	0.184118	0.664154	1.337681	1.743557	1.923442	2.219511	1.871447	1.784821	1.826683	1.872347
0.100200	2.000000	0.187876	0.676202	1.357866	1.765339	1.943525	2.208450	1.869389	1.785057	1.827520	1.870788
0.102204	2.000000	0.191633	0.688190	1.377787	1.786649	1.963008	2.196969	1.868384	1.786937	1.829651	1.870201
0.104208	2.000000	0.195391	0.700118	1.397444	1.807491	1.981899	2.185128	1.868385	1.790384	1.833003	1.870535
0.106212	2.000000	0.199148	0.711985	1.416840	1.827868	2.000208	2.172985	1.869339	1.795315	1.837497	1.871740
0.108216	2.000000	0.202906	0.723792	1.435975	1.847786	2.017942	2.160593	1.871191	1.801644	1.843056	1.873762
0.110220	2.000000	0.206663	0.735539	1.454850	1.867249	2.035110	2.148005	1.873884	1.809276	1.849595	1.876546
0.112224	2.000000	0.210421	0.747226	1.473467	1.886261	2.051721	2.135270	1.877359	1.818116	1.857031	1.880037
0.114228	2.000000	0.214178	0.758852	1.491826	1.904827	2.067784	2.122435	1.881555	1.828064	1.865279	1.884179
0.116232	2.000000	0.217936	0.770419	1.509930	1.922950	2.083306	2.109544	1.886412	1.839017	1.874253	1.888917
0.118236	2.000000	0.221693	0.781925	1.527778	1.940636	2.098295	2.096640	1.891868	1.850874	1.883866	1.894193
0.120240	2.000000	0.225451	0.793370	1.545373	1.957888	2.112761	2.083761	1.897862	1.863528	1.894033	1.899953
0.122244	2.000000	0.229208	0.804756	1.562715	1.974711	2.126710	2.070946	1.904331	1.876875	1.904671	1.906141
0.124248	2.000000	0.232966	0.816081	1.579807	1.991109	2.140151	2.058230	1.911216	1.890812	1.915694	1.912705
0.126253	2.000000	0.236723	0.827346	1.596647	2.007086	2.153093	2.045645	1.918457	1.905234	1.927022	1.919592
0.128257	2.000000	0.240481	0.838551	1.613240	2.022647	2.165542	2.033225	1.925995	1.920039	1.938576	1.926750
